title,text
Мужчина за рулем принял роды у жены в машине,"Жительница Чикаго, США, Жасмин Квонг родила в машине, пока ее муж сидел за рулем. Об этом пишет People. 41-летняя женщина рассказала, что проснулась 15 сентября с ужасными спазмами. Когда боль усилилась, она попросила мужа отвезти ее в роддом. Он находился всего в 15 минутах езды, и супруги были уверены, что успеют добраться. «Но мы ошибались, ребенок не мог столько ждать», — отметила женщина. По дороге в больницу схватки становились все интенсивнее. Вдруг она почувствовала, как из нее что-то выходит. Мужчина обернулся, увидел голову младенца между ног жены и стал паниковать и материться. В конце концов он, не убирая ноги с тормоза, принял роды у Квонг, затем полностью остановил машину, включил аварийную сигнализацию и позвонил в 911. Прибывшие медики перерезали пуповину, отсосали жидкость из носа младенца и доставили его с матерью в больницу. Спустя три дня их уже выписали. Ребенка назвали Айра. Квонг сравнила скорость появления на свет Айры со скоростью петарды. Она также добавила, что ее мужу потребовалось несколько часов, чтобы успокоиться после пережитого. Ранее сообщалось, что водитель такси из Москвы помог принять роды у пассажирки возле роддома. «Я это сделал не для того, чтобы про меня где-то узнали, а просто по-человечески, потому что людям была нужна помощь», — рассказал он."
В России ответили на обращение министра обороны Великобритании к Путину,"Обращение министра обороны Великобритании Джона Хили к российскому лидеру Владимиру Путину о том, что Россия не сможет победить в конфликте на Украине, не соответствует его уровню, считает первый заместитель председателя комитета Совета Федерации по международным делам Владимир Джабаров. В разговоре с «Лентой.ру» он также пригрозил Великобритании судьбой Украины. «Чести много обращаться к главе такого великого государства, как Россия. Он всего лишь министр. Сегодня он министр, а завтра никто. Я думаю, что пусть это обращение оставит для своих предков, будет показывать, как он обращался к главе великой России. (…) Пусть поддерживает, закончит, как Украина, если не хуже. Поэтому не надо пугать нас своими заявлениями», — сказал Джабаров. Ранее Хили обратился к президенту Путину с посланием о конфликте на Украине. «Сегодня наше послание Москве из Ливерпуля таково: президент Путин, вы не победите. (...) Соглашайтесь на мир», — говорил Хили. Глава британского военного ведомства добавил, что считает безопасность Украины неотъемлемой составляющей безопасности самой Великобритании, и подчеркнул, что Лондон продолжит поддержку Киева."
Замгубернатора российского региона решил отправиться к казакам на СВО,"Исполняющий обязанности замгубернатора Краснодарского края Александр Власов ушел в отставку, чтобы отправиться на специальную военную операцию (СВО). Об этом сообщила региональная администрация. О своем решении Власов, являющийся атаманом Кубанского казачьего войска, объявил на краевом Совете атаманов. По его словам, казаки, в том числе 93 атамана, отправились в зону боевых действий с первых дней СВО. «Я ветеран боевых действий, выполнял задачи в Чеченской Республике в конце девяностых и начале двухтысячных годов, в операции по принуждению к миру в 2008 году в Грузии. Принял решение уйти в нашу бригаду ""Кубань""», — сказал он. Отмечается, что Власов освобожден от должности вице-губернатора с 29 сентября. Ранее на СВО отправился осужденный за взятку экс-начальник акцизного специализированного таможенного поста Центральной акцизной таможни Федеральной таможенной службы (ФТС) России Александр Алеев. В декабре 2024 года бывшего чиновника приговорили к 10 годам лишения свободы."
Самокатчик сбил беременную россиянку на тротуаре и скрылся,"В Москве возбудили дело в отношении самокатчика, сбившего беременную. Об этом сообщает РИА Новости. Возбуждено уголовное дело по статье 268 («Нарушение правил, обеспечивающих безопасную работу транспорта») УК РФ. По данным агентства, неизвестный на самокате сбил беременную женщину на тротуаре около дома на Ленинском проспекте, после чего скрылся с места происшествия. Пострадавшую доставили в медицинское учреждение. Следователи возбудили уголовное дело по данному факту, контроль осуществляется центральным аппаратом СК. Ранее сообщалось, что в российском городе мужчина на электровелосипеде сбил несовершеннолетнего."
Путин разрешил рекламу на ракетах,"Президент России Владимир Путин подписал закон, устанавливающий особенности размещения рекламы на ракетах, спутниках и других космических объектах. Соответствующий документ размещен на сайте официального опубликования правовых актов. Закон, вступающий в силу 1 января 2026 года, разрешает размещение рекламы на космических объектах на основании договора. Соглашение будут заключать между рекламодателем и собственником космического объекта. Федеральный закон вносит изменения в законы «О рекламе» и «О Государственной корпорации по космической деятельности ""Роскосмос""». В августе стало известно, что «Роскосмос» произвел пуск ракеты-носителя «Союз-2.1б» с логотипом юбилейного Восточного экономического форума. В сентябре 2024 года на орбиту отправили пилотируемый корабль «Союз МС-26» с новым логотипом курорта Сбера «Мрия»."
Возможное место работы в колонии бывшего российского генерала связали с макаронами,"Осужденный на пять лет колонии по делу о мошенничестве и лишенный звания генерала Российской армии бывший командующий 58-й армией Иван Попов может работать на производстве макарон в коломенской исправительной колонии №6 (ИК-6). Об этом сообщает aif.ru. По данным издания, на территории колонии, в которую этапировали Попова, расположено несколько предприятий. Среди них производство сельскохозяйственной продукции, швейное производство и другие. Кроме того, там есть автослесарный участок, пекарня и цех по изготовлению макаронных изделий. По информации «АиФ», Попов может быть задействован на любом из этих предприятий. Ранее сообщалось, что Ивана Попова этапировали из СИЗО Тамбова для дальнейшего отбытия наказания в колонию общего режима в Коломне."
Международный буддийский форум в Элисте завершился принятием соглашений и резолюций,"В Элисте завершился III Международный буддийский форум, собравший более семи тысяч участников из тридцати пяти стран мира. За четыре дня столица Калмыкии стала центром мирового буддизма: форум посетили около тысячи иностранных гостей, прошло более пятидесяти мероприятий с участием духовных лидеров, ученых и государственных деятелей. Мероприятие проводилось по поручению президента России Владимира Путина. «Международный буддийский форум подтвердил высокую значимость буддийской традиции как части мирового духовного и культурного наследия, востребованного в условиях современности», — отметил советник президента России Антон Кобяков. Он подчеркнул, что такие инициативы укрепляют международный диалог и межконфессиональное согласие, способствуют формированию устойчивого и справедливого миропорядка. Подготовка форума сопровождалась масштабным обновлением городской инфраструктуры. В Элисте капитально отремонтировали десять дорог и благоустроили столько же объектов, на сто сорок процентов увеличили количество камер видеонаблюдения, установили тридцать один светофорный объект. Проведен ремонт Центрального хурула «Золотая обитель Будды Шакьямуни» и других религиозных сооружений, благоустроены прилегающие территории. Построены новый хурул в поселке Кетченеры, два глэмпинг-отеля, четыре гостиницы, ретрит-центр и буддийская воскресная школа. Начато возведение Будда-парка, где уже установлена статуя «Зеленая Тара». Первый заместитель директора фонда Росконгресс, директор Восточного экономического форума Игорь Павлов подчеркнул, что форум вышел за рамки делового мероприятия и стал настоящим праздником для жителей Калмыкии. «Лидеры буддийского мира встретились на калмыцкой земле, чтобы сверить часы в важнейших вопросах, волнующих миллионы буддистов», — пояснил он. Глава Республики Калмыкия Бату Хасиков назвал символичной цифру «три», напомнившую о «Трех драгоценностях» буддизма: Будде, Дхарме и Сангхе. «Мы смогли построить диалог цивилизаций, основанный на уважении к традиционным ценностям каждого народа», — сказал он. По его словам, обсуждались вопросы влияния буддийских ценностей на экономические приоритеты, отражение культуры в литературе, искусстве и архитектуре. Форум открыло мультимедийное шоу «Кочевье народа» под руководством режиссера Андрея Болтенко. Мероприятие посетили высокопоставленные гости, включая заместителя председателя правительства России Дмитрия Чернышенко, который огласил приветственный адрес президента, оценил развитие городской инфраструктуры и принял участие в открытии буддийской воскресной школы. В деловой программе состоялись пленарные заседания, круглые столы и дискуссии о развитии буддийского образования, паломническом туризме, философских аспектах буддизма, сохранении института монашества, борьбе с экологическими угрозами и перспективах экономики. Принята резолюция о создании Международного буддийского делового клуба, который займется формулированием ценностей, влияющих на экономику, и обменом практиками бизнеса. Значимым результатом стал подписанный План мероприятий по реализации соглашения между Калмыкией и Бурятией, предусматривающий совместные проекты в сельском хозяйстве, культуре и образовании. Лидеры Калмыкии, Бурятии и Тывы заложили пожелания в символическую капсулу времени, поддержав идею создания буддийских парков. Культурная программа включала выступления национальных коллективов, концерт народного артиста России Игоря Бутмана, музыкальное подношение Трем драгоценностям буддизма, а также международный фестиваль боевых искусств «Гармония силы и духа» и традиционный праздник «Джангариада». Геше Йонтен, глава Центрального духовного управления буддистов, отметил, что форум вызвал интерес не только у стран Азии, но и у представителей Европы, Африки и Америки, что подтверждает стремление человечества к миру и сотрудничеству."
В российском городе запретили возить детей в школу из-за разрушенных дорог,"В Чите запретили возить детей в школу из-за плохого состояния местных дорог, учеников перевели на дистанционное обучение. Такое решение принял комитет образования Газимуро-Заводского округа по решению комиссии по безопасности дорожного движения, передает «Чита.Ру». С 1 октября в городе закроют несколько участков для перевозки школьников. Запрет последовал за обращением родителей к губернатору Забайкалья Александру Осипову по поводу ужасного состояния дорог. По словам жителей, власти неоднократно обещали провести ремонт, но так этого и не сделали. По словам председателя комитета образования округа Татьяны Смысловой, принятые меры — «крик души». «Было видеообращение записано даже, но ничего не изменилось, а это было еще в августе. ГИБДД проверила состояние дороги, определила, что движение опасно, дорога разбита и съезды ведут по кюветам», — рассказала она. Смыслова добавила, что информацию о вынужденном закрытии участков передали в краевые ведомства, ответственные за безопасность движения и состояние дорог. Ранее в Амурской области большой участок дороги провалился и полностью перекрыл движение. Инцидент попал на видео."
В МИД Украины пригрозили способным достать до любой точки России оружием,"Благодаря новому оружию Вооруженных сил Украины на территории России не будет ни одного места и военного объекта, которое можно назвать безопасным. Вооружением, способным достать до любой точки России, пригрозил глава МИД Украины Андрей Сибига, передает Telegram-канал «Инсайдер UA». «С сегодняшнего дня не будет ни одного безопасного места в России, украинское оружие достанет любые российские военные объекты», — заявил дипломат на форуме на форуме по безопасности в Варшаве. Он также призвал Европу и США ввести усиленные трансатлантические санкции против России, чтобы Москва ощутила дефицит ресурсов и технологий и пошла на урегулирование конфликта на условиях Киева. Ранее президент Украины Владимир Зеленский раскритиковал лидера Белоруссии Александра Лукашенко за его слова о том, что у России есть хорошее предложение для Киева по урегулированию конфликта на Украине. Украинский лидер добавил, что его белорусский коллега якобы «живет в собственном мире»."
«Вот наше послание Москве». Министр обороны Британии обратился к Путину. Что он потребовал?,"Министр обороны Великобритании Джон Хили обратился к президенту России Владимиру Путину. Обращение прозвучало на съезде Лейбористской партии и касалось конфликта на Украине. Хили напомнил, что в 2025 году Великобритания предоставила Украине самый большой объем военной помощи за всю историю и планирует и дальше оказывать поддержку Киеву. По словам британского премьера, безопасность Украины является неотъемлемой составляющей безопасности его страны. В связи с этим Хили призвал российского лидера завершить переговоры и согласиться на мир. В переговорах по урегулированию украинского конфликта возникла пауза, связанная с нежеланием Киева вести диалог. Об этом рассказал пресс-секретарь президента России Дмитрий Песков. Официальный представитель Кремля, говоря о возможности возобновления переговоров, заявил, что от Киева никаких сигналов на этот счет не поступало. Вместе с тем министр иностранных дел России Сергей Лавров во время общеполитической дискуссии 80-й сессии Генассамблеи ООН заявил, что Москва открыта к переговорам по украинскому урегулированию. Также он отметил нелогичную смену позиции украинских властей в отношении переговоров с Москвой. Хили и ранее пытался оказывать давление на президента России. В частности, по информации Bloomberg, для этого была начата 50-дневная кампания по вооружению Украины, в рамках которой Британия поставила Украине 60 тысяч снарядов за 50 дней. Также Киев получил почти пять миллионов патронов, две с половиной тысячи беспилотных систем, 30 единиц транспортных средств и инженерного оборудования и 200 систем радиоэлектронной борьбы и противовоздушной обороны. Министр обороны Великобритании также сообщил о планах британских властей продолжить подготовку украинских военных в 2026 году в рамках программы Interflex. Кроме того, Хили заявил о готовности Лондона направить войска на Украину в случае подписания соглашения о прекращении огня между Москвой и Киевом. Позже глава британского минобороны сообщил, что начал оценку боеготовности британских войск на случай возможной отправки на Украину в рамках гарантий безопасности после урегулирования конфликта. Официальный представитель Министерства иностранных дел (МИД) России Мария Захарова заявила о попытках Британии сорвать урегулирование конфликта на Украине. По ее словам, на это, в частности, направлена инициатива Лондона о возможном вводе западных военных подразделений на Украину после заключения перемирия. Дипломат напомнила, что с подобными заявлениями выступал британский министр обороны. Захарова напомнила, что роль Великобритании в эскалации конфликта на Украине «хорошо известна». По словам дипломата, Лондон рассматривает Украину как инструмент давления на Россию. Она добавила, что заявления Лондона носят провокационный характер и способствуют продолжению боевых действий, а также подрывают безопасность в Европе. В связи с чем МИД России призвал Британию не мешать переговорным усилиям."
Саакашвили признал себя бездомным,"Бывший президент Грузии Михаил Саакашвили объявил об отсутствии денег и квартиры. Об этом он написал на своей странице в социальной сети Facebook (запрещенная в России соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена). Так он обратился к суду, который вынес ему приговор о «растрате средств в период его правления». Он заявил, что нынешние власти и суд Грузии «никто, несмотря на свои миллиарды». «Вы хорошо знаете, что у меня практически нет денег. В Грузии, которую я заново построил, у меня нет даже квартиры. Сейчас я лишен свободы, но вы и ваш хозяин (вероятно, имеется в виду основатель правящей партии «Грузинская мечта» Бидзина Иванишвили — прим. ""Ленты.ру"") хорошо знаете, что я очень успешен, а вы — полные неудачники», — написал экс-президент Грузии. В июне 2023 года президент Украины Владимир Зеленский заступился за Михаила Саакашвили. Он также призвал партнеров Киева не игнорировать эту ситуацию и спасти этого человека, сделав ряд обвинений в адрес России."
Описаны последствия возможной конфискации российских активов для Европы,"Возможная конфискация активов РФ ударит по евро и вызовет иски от тысяч пострадавших. Такие последствия действий Евросоюза (ЕС) описала ведущий аналитик Freedom Finance Global Наталья Мильчакова (комментарий есть в распоряжении «Ленты.ру»). Главы европейских государств на саммите 1 октября планируют обсудить вопрос о замороженных в европейских банках и депозитариях российских активах. Сейчас в ЕС заблокировано более 200 миллиардов евро — процентные доходы от этих активов уже изымаются и направляются на Украину и периодически заходит речь о возможном изъятии средств. «На наш взгляд, к каким бы хитрым ""схемам"" не прибегали бы чиновники из Брюсселя, чтобы создать правовую базу для этого незаконного решения, у этих ""схем"" крайне мало шансов быть одобренными и тем более — реализованными на практике. Против такого решения уже выступает не только, как обычно, Венгрия, но уже и западноевропейские страны, например, власти самой Бельгии», — отметила эксперт. На прямую конфискацию активов ЦБ РФ и российских инвесторов, чиновники Евросоюза вряд ли решатся — это грозит судебными исками тысяч пострадавших, а также ударом по евро, к которому начнет стремительно падать доверие как к мировой резервной валюте. Вместо этого власти объединения попробуют продавить вариант «мягкой конфискации», предоставив Украине кредит на эту сумму, который (на бумаге) будет подлежать возврату, как и обычные кредиты, пояснила Мильчакова. Президент Франции Эммануэль Макрон заявил, что конфискация принадлежащих России активов станет нарушением международного права. Подобный шаг может привести к «началу полного хаоса», поэтому страны Европы не будут «делать с этими замороженными активами все невозможное», пояснил он. Канцлер ФРГ Фридрих Мерц в свою очередь заявил, что страна поддерживает выдачу беспроцентного кредита Украине за счет активов России. Он призвал перечислить Киеву почти 140 миллиардов евро."
На показе Moschino модели прошлись по подиуму с кастрюлями вместо сумок,"На показе итальянского бренда Moschino модели прошлись по подиуму с необычными аксессуарами. Соответствующий пост появился в Instagram-аккаунте (запрещенная в России соцсеть; принадлежит компании Meta, признанной экстремистской организацией и запрещенной в РФ) люксовой марки. Креативный директор Moschino Адриан Аппиолаза представил новую коллекцию под названием Niente, в которой были задействованы бывшие в использовании вещи. Так, манекенщицы продефилировали в юбках и топах, выполненных из мешков для картошки. Кроме того, они продемонстрировали на себе накидки, сшитые из кусков старой одежды, и головные уборы в виде смятых рубашек. В то же время в их руках были замечены кастрюли, детские ведра, статуэтки, упаковка яблок из супермаркета и коробки от посылок, которые они несли вместо сумок. Ранее немецкий производитель соков Capri Sun и американский модельер Кристиан Сириано также представили на Неделе моды в Нью-Йорке необычную сумку. Сообщалось, что аксессуар в виде пакета сока изготовлен из гибкого серебристого материала и дополнена разноцветными цепями. Тогда Сириано признался, что вдохновением для создания такой сумки послужила его любовь к еде."
Один жест спас жизнь двум российским бойцам на СВО,"Жизнь двум российским штурмовикам в зоне проведения специальной военной операции (СВО) на Украине спас один жест. Их историю публикует RT. Речь идет о боях за Часов Яр. Двое российских бойцов должны были обеспечить безопасность другим заходившим на позицию штурмовикам Вооруженных сил России. При выполнении задачи они были замечены украинскими дронами. Однако приветственный жест спас им жизни. «Мне товарищ говорит: ""Закуривай и маши ручками"". Ну мы задымили, ""птицам"" передали привет, хохлы решили, что это свои и успокоились, ведь, по их расчетам, нас быть в том районе не должно было», — вспомнил боец с позывным Буш. По его словам, благодаря таким хитростям российским штурмовикам удалось зайти в лес близ Часов Яра так, что противник не знал об этом еще четыре дня. По данным издания, за выполнение боевых задач на Часовоярском направлении Буш награжден орденом Мужества и медалью «За отвагу». Отмечается, что взятие населенного пункта привело к значительному продвижению российских войск в направлении Константиновки. Ранее сообщалось о российском бойце с позывным Дема, который штурмовал позицию ВСУ в Часов Яре со сломанной ногой. За этот бой его представили к государственной награде."
«Другие возможности у США иссякли». Трамп разрешил ВСУ наносить удары вглубь России. Насколько это опасно?,"Разрешение администрации президента США Дональда Трампа Вооруженным силам Украины (ВСУ) наносить удары дальнобойным оружием вглубь России — это дешевый способ параллельно надавить на Москву и Киев, чтобы усадить стороны за стол переговоров. Об этом «Ленте.ру» заявил военный историк и аналитик Евгений Норин. В частности, эксперт указал, что Трампу проблематично добиться выделения новых видов вооружений для Киева, поэтому он лишь дал согласие на применение уже выделенного оружия. При этом Норин обратил внимание на то, что Трамп стремится «не переусердствовать» и ищет такие способы принуждения, которые не приведут к опасным последствиям для самих Соединенных Штатов. «Трамп сейчас столкнулся с ситуацией, когда усадить стороны за стол переговоров сложно. Для Украины неприемлемы требования России, для Москвы неприемлемы требования Киева. Соответственно, Трамп давит и на Россию, и на Украину, но он старается не переусердствовать и не наносить вреда американскому национальному хозяйству. Все требования, которые сейчас он может выкатить по поводу России, создают проблемы самим Штатам», — отметил аналитик. Впервые о решении Трампа разрешить наносить удары вглубь территории России дальнобойным оружием заявил спецпосланник главы государства Кит Келлог в интервью телеканалу Fox News. Он подчеркнул, что если Киев учтет слова Трампа, вице-президента США Джей Ди Вэнса и государственного секретаря Марко Рубио, то украинские власти могут использовать возможность нанесения глубоких ударов. Он отметил, что в России «нет неприкосновенных мест». Также 26 сентября газета The Wall Street Journal со ссылкой на источники сообщала, что Трамп на встрече с украинским коллегой Владимиром Зеленским допустил отмену ограничений на использование Киевом американского дальнобойного оружия для ударов вглубь России. Однако, как отмечается в статье, хозяин Белого дома не брал на себя прямых обязательств по снятию ограничений. Помимо Келлога, ситуацию комментировал и Вэнс. В частности, вице-президент заявил, что идея поставить крылатые ракеты Tomahawk Киеву рассматривается, но финальное слово остается за Трампом. Политик также подчеркнул, что хозяин Белого дома примет то решение, которое в большей степени будет отвечать интересам США. «Пусть об этом говорит президент, но я знаю, что мы обсуждаем этот вопрос прямо сейчас», — подытожил он. Кроме этого, вице-президент заявил, что России нужно «проснуться и принять реальность» в конфликте с Украиной. «Россиянам нужно проснуться и принять реальность. (...) Сколько еще людей они готовы потерять (...) ради очень небольшой, если вообще какой-либо, военной выгоды на земле?» — задался вопросом он. Как указал Норин, решение Трампа об ударах ВСУ вглубь территории России мало повлияет на ситуацию на фронте. В частности, он обратил внимание, что крылатые ракеты относительно легко сбиваются системой противовоздушной обороны (ПВО) по сравнению с другими типами вооружений. Кроме того, эксперт напомнил, что удары вглубь России ВСУ и так наносят прочими видами военной техники. «Трамп положил еще одну гирьку на весы, но она уже достаточно мелкая, потому что удары дронами на такую глубину и так наносятся. Удары крылатыми ракетами — это неприятно, но не катастрофично», — резюмировал он."
Овечкин провел первую полноценную тренировку после травмы,"Российский форвард клуба Национальной хоккейной лиги (НХЛ) «Вашингтон Кэпиталс» Александр Овечкин провел первую полноценную тренировку с командой после травмы. Об этом в соцсети X сообщила журналистка Сэмми Силбер. В понедельник, 29 сентября, россиянин тренировался без ограничений на контактную борьбу. Он также отрабатывал броски по воротам. Ранее главный тренер «Вашингтона» Спенсер Карбери назвал сроки возвращения Овечкина на лед. Специалист заявил, что есть вероятность, что хоккеист примет участие в обоих домашних выставочных встречах. Овечкин получил повреждение на тренировке 18 сентября. После этого он пропустил несколько занятий, а затем тренировался с ограничениями."
